crash_year,crashes,injury_crashes,missing_injury_count,injury_rate,mean_injuries
2013,203742,40062,0,0.19663103336572724,0.270577495067291
2014,206046,37507,0,0.182032167574231,0.24863380021936848
2015,217708,37868,0,0.1739394050746872,0.23595366270417256
2016,229832,44058,1,0.19169737330116057,0.2624406651495001
2017,231007,44500,11,0.1926440279929718,0.26258463352916717
2018,231564,45600,5,0.1969260261188911,0.267491183237492
2019,211486,45255,0,0.2139857957500733,0.29028399042962655
2020,112917,33188,0,0.29391499951291655,0.39510436869559057
2021,110557,38590,1,0.34905342997421285,0.46840458556133296
2022,103887,39133,0,0.37668813229759257,0.4998989286436224
2023,96607,40264,0,0.4167813926527063,0.5615742130487439
2024,91315,40040,0,0.43848217707934073,0.5916771614740185
2025,85476,37215,0,0.4353853713323038,0.5801979503018391
