crash_year,borough,time_band,weekend,crashes,known_injury_outcomes,injury_crashes,known_injury_counts,total_injuries
2013,BRONX,Evening,FALSE,4190,4190,1008,4190,1335
2013,BRONX,Evening,TRUE,1264,1264,295,1264,438
2013,BRONX,Midday,FALSE,4947,4947,1025,4947,1430
2013,BRONX,Midday,TRUE,1678,1678,346,1678,483
2013,BRONX,Morning,FALSE,2877,2877,617,2877,846
2013,BRONX,Morning,TRUE,521,521,91,521,131
2013,BRONX,Night,FALSE,1877,1877,497,1877,649
2013,BRONX,Night,TRUE,805,805,218,805,326
2013,BRONX,Overnight,FALSE,802,802,197,802,304
2013,BRONX,Overnight,TRUE,807,807,212,807,317
2013,BROOKLYN,Evening,FALSE,9643,9643,2422,9643,3237
2013,BROOKLYN,Evening,TRUE,2859,2859,704,2859,1018
2013,BROOKLYN,Midday,FALSE,13051,13051,2658,13051,3484
2013,BROOKLYN,Midday,TRUE,4065,4065,853,4065,1243
2013,BROOKLYN,Morning,FALSE,6170,6170,1428,6170,1932
2013,BROOKLYN,Morning,TRUE,1171,1171,286,1171,441
2013,BROOKLYN,Night,FALSE,4570,4570,1343,4570,1801
2013,BROOKLYN,Night,TRUE,1889,1889,524,1889,783
2013,BROOKLYN,Overnight,FALSE,1843,1843,508,1843,735
2013,BROOKLYN,Overnight,TRUE,1763,1763,487,1763,739
2013,MANHATTAN,Evening,FALSE,7926,7926,1238,7926,1443
2013,MANHATTAN,Evening,TRUE,2520,2520,335,2520,416
2013,MANHATTAN,Midday,FALSE,12022,12022,1553,12022,1819
2013,MANHATTAN,Midday,TRUE,3400,3400,433,3400,544
2013,MANHATTAN,Morning,FALSE,4778,4778,696,4778,820
2013,MANHATTAN,Morning,TRUE,928,928,136,928,186
2013,MANHATTAN,Night,FALSE,4274,4274,800,4274,953
2013,MANHATTAN,Night,TRUE,1678,1678,274,1678,342
2013,MANHATTAN,Overnight,FALSE,2065,2065,372,2065,511
2013,MANHATTAN,Overnight,TRUE,1991,1991,393,1991,551
2013,Not recorded,Evening,FALSE,9867,9867,1650,9867,2321
2013,Not recorded,Evening,TRUE,3116,3116,559,3116,917
2013,Not recorded,Midday,FALSE,12002,12002,1984,12002,2774
2013,Not recorded,Midday,TRUE,3968,3968,713,3968,1163
2013,Not recorded,Morning,FALSE,6760,6760,1131,6760,1569
2013,Not recorded,Morning,TRUE,1229,1229,253,1229,379
2013,Not recorded,Night,FALSE,4479,4479,948,4479,1397
2013,Not recorded,Night,TRUE,1945,1945,434,1945,713
2013,Not recorded,Overnight,FALSE,2433,2433,620,2433,928
2013,Not recorded,Overnight,TRUE,1962,1962,539,1962,911
